tick_ms,position_mm,velocity_mm_s,target_mm_s,internal_model_mm_s,current_command_A,unsaturated_current_A,saturated
7.383800000000000000e+04,2.969429999999999836e+02,-2.750000000000000000e+01,0.000000000000000000e+00,1.034399999999999942e+01,1.000000000000000000e+01,1.950600000000000023e+01,1.000000000000000000e+00
7.384000000000000000e+04,2.969159999999999968e+02,-1.590399999999999991e+01,0.000000000000000000e+00,9.938000000000000611e+00,1.000000000000000000e+01,1.365700000000000003e+01,1.000000000000000000e+00
7.384200000000000000e+04,2.969420000000000073e+02,1.044999999999999929e+01,0.000000000000000000e+00,9.548000000000000043e+00,1.620000000000000051e-01,1.620000000000000051e-01,0.000000000000000000e+00
7.384400000000000000e+04,2.970059999999999718e+02,2.956200000000000117e+01,0.000000000000000000e+00,9.173999999999999488e+00,-9.999000000000000554e+00,-9.999000000000000554e+00,0.000000000000000000e+00
7.384600000000000000e+04,2.970740000000000123e+02,3.492499999999999716e+01,0.000000000000000000e+00,8.814000000000000057e+00,-1.000000000000000000e+01,-1.337700000000000067e+01,1.000000000000000000e+00
7.384800000000000000e+04,2.970950000000000273e+02,1.494200000000000017e+01,0.000000000000000000e+00,8.468999999999999417e+00,-3.592999999999999972e+00,-3.592999999999999972e+00,0.000000000000000000e+00
7.385000000000000000e+04,2.970799999999999841e+02,-4.996000000000000441e+00,0.000000000000000000e+00,8.137000000000000455e+00,6.472999999999999865e+00,6.472999999999999865e+00,0.000000000000000000e+00
7.385200000000000000e+04,2.970570000000000164e+02,-1.141300000000000026e+01,0.000000000000000000e+00,7.817999999999999616e+00,9.936999999999999389e+00,9.936999999999999389e+00,0.000000000000000000e+00
7.385400000000000000e+04,2.970529999999999973e+02,-4.354000000000000092e+00,0.000000000000000000e+00,7.511000000000000121e+00,6.528999999999999915e+00,6.528999999999999915e+00,0.000000000000000000e+00
7.385600000000000000e+04,2.970840000000000032e+02,1.228299999999999947e+01,0.000000000000000000e+00,7.216000000000000192e+00,-2.020999999999999908e+00,-2.020999999999999908e+00,0.000000000000000000e+00
7.385800000000000000e+04,2.971279999999999859e+02,2.200000000000000000e+01,0.000000000000000000e+00,6.934000000000000163e+00,-7.334999999999999964e+00,-7.334999999999999964e+00,0.000000000000000000e+00
7.386000000000000000e+04,2.971680000000000064e+02,2.085399999999999920e+01,0.000000000000000000e+00,6.661999999999999922e+00,-7.208000000000000185e+00,-7.208000000000000185e+00,0.000000000000000000e+00
7.386200000000000000e+04,2.971859999999999786e+02,1.127500000000000036e+01,0.000000000000000000e+00,6.400000000000000355e+00,-2.668000000000000149e+00,-2.668000000000000149e+00,0.000000000000000000e+00
7.386400000000000000e+04,2.971770000000000209e+02,-2.475000000000000089e+00,0.000000000000000000e+00,6.149000000000000021e+00,4.253000000000000114e+00,4.253000000000000114e+00,0.000000000000000000e+00
7.386600000000000000e+04,2.971589999999999918e+02,-8.204000000000000625e+00,0.000000000000000000e+00,5.908000000000000362e+00,7.301000000000000156e+00,7.301000000000000156e+00,0.000000000000000000e+00
7.386800000000000000e+04,2.971480000000000246e+02,-6.508000000000000007e+00,0.000000000000000000e+00,5.676999999999999602e+00,6.610000000000000320e+00,6.610000000000000320e+00,0.000000000000000000e+00
7.387000000000000000e+04,2.971560000000000059e+02,2.016999999999999904e+00,0.000000000000000000e+00,5.453999999999999737e+00,2.326000000000000068e+00,2.326000000000000068e+00,0.000000000000000000e+00
7.387200000000000000e+04,2.971859999999999786e+02,1.342900000000000027e+01,0.000000000000000000e+00,5.240000000000000213e+00,-3.648000000000000131e+00,-3.648000000000000131e+00,0.000000000000000000e+00
7.387400000000000000e+04,2.972239999999999895e+02,1.883699999999999974e+01,0.000000000000000000e+00,5.035000000000000142e+00,-6.746999999999999886e+00,-6.746999999999999886e+00,0.000000000000000000e+00
7.387600000000000000e+04,2.972509999999999764e+02,1.494200000000000017e+01,0.000000000000000000e+00,4.836999999999999744e+00,-5.123999999999999666e+00,-5.123999999999999666e+00,0.000000000000000000e+00
7.387800000000000000e+04,2.972579999999999814e+02,5.546000000000000263e+00,0.000000000000000000e+00,4.647999999999999687e+00,-5.520000000000000462e-01,-5.520000000000000462e-01,0.000000000000000000e+00
7.388000000000000000e+04,2.972479999999999905e+02,-3.666999999999999815e+00,0.000000000000000000e+00,4.464999999999999858e+00,4.129999999999999893e+00,4.129999999999999893e+00,0.000000000000000000e+00
7.388200000000000000e+04,2.972320000000000277e+02,-7.378999999999999559e+00,0.000000000000000000e+00,4.290000000000000036e+00,6.150999999999999801e+00,6.150999999999999801e+00,0.000000000000000000e+00
7.388400000000000000e+04,2.972230000000000132e+02,-5.866999999999999993e+00,0.000000000000000000e+00,4.121999999999999886e+00,5.533999999999999808e+00,5.533999999999999808e+00,0.000000000000000000e+00
7.388600000000000000e+04,2.972330000000000041e+02,2.887000000000000011e+00,0.000000000000000000e+00,3.959999999999999964e+00,1.114000000000000101e+00,1.114000000000000101e+00,0.000000000000000000e+00
7.388800000000000000e+04,2.972590000000000146e+02,1.260399999999999920e+01,0.000000000000000000e+00,3.805000000000000160e+00,-3.999000000000000110e+00,-3.999000000000000110e+00,0.000000000000000000e+00
7.389000000000000000e+04,2.972850000000000250e+02,1.379599999999999937e+01,0.000000000000000000e+00,3.656000000000000139e+00,-4.889000000000000234e+00,-4.889000000000000234e+00,0.000000000000000000e+00
7.389200000000000000e+04,2.973029999999999973e+02,9.442000000000000171e+00,0.000000000000000000e+00,3.512999999999999901e+00,-2.918000000000000149e+00,-2.918000000000000149e+00,0.000000000000000000e+00
7.389400000000000000e+04,2.973079999999999927e+02,4.216999999999999638e+00,0.000000000000000000e+00,3.375000000000000000e+00,-3.990000000000000213e-01,-3.990000000000000213e-01,0.000000000000000000e+00
