raw_relative_to_target400_s,shifted_relative_s_minus_1s,position_mm,velocity_mm_s,current_A,state,unit_message_code
3.102023602,2.102023602,378.168975830,12.924999237,2.891000032,1,1
3.112375975,2.112375975,378.480834961,60.454166412,3.197999954,1,1
3.122208357,2.122208357,378.760803223,29.745832443,-4.168000221,1,1
3.132368088,2.132368088,379.215332031,15.445833206,0.418000013,1,1
3.142081022,2.142081022,379.558074951,59.125000000,3.122999907,1,1
3.152384043,2.152384043,379.714172363,18.333332062,-4.385000229,1,1
3.162142038,2.162142038,380.179443359,26.858333588,3.533999920,1,1
3.172368288,2.172368288,380.534606934,68.337501526,3.078999996,1,1
3.182082891,2.182082891,380.706481934,2.704166651,-4.006000042,1,1
3.192389250,2.192389250,381.102935791,28.233333588,3.651999950,1,1
3.202153206,2.202153206,381.355377197,55.091667175,3.055000067,1,1
3.212337971,2.212337971,381.544372559,6.233333111,-4.065999985,1,1
3.222187996,2.222187996,382.003936768,35.108333588,3.694000006,1,1
3.232363701,2.232363701,382.112030029,31.762500763,-4.276999950,1,1
3.242162943,2.242162943,382.448059082,0.504166663,-1.944000006,1,1
3.252361298,2.252361298,382.754882812,63.800003052,2.786000013,1,1
3.262179136,2.262179136,383.053314209,6.554166794,-4.181000233,1,1
3.272393942,2.272393942,383.473266602,29.745832443,3.572000027,1,1
3.282049656,2.282049656,383.649841309,46.016666412,-4.356999874,1,1
3.292345762,2.292345762,383.914703369,-4.170833111,-3.542999983,1,1
3.302168131,2.302168131,384.288330078,58.254165649,3.517999887,1,1
3.312328100,2.312328100,384.333648682,7.425000191,-4.041999817,1,1
3.322199106,2.322199106,384.662963867,9.441666603,3.747999907,1,1
3.332392216,2.332392216,384.788848877,40.654167175,-4.206999779,1,1
3.342123270,2.342123270,385.104400635,-9.533333778,-0.093000002,1,1
3.352335453,2.352335453,385.378326416,56.604167938,3.115999937,1,1
3.362107515,2.362107515,385.508911133,0.504166663,-3.756000042,1,1
3.372382164,2.372382164,385.857360840,20.487499237,3.703999996,1,1
3.382222652,2.382222652,386.044677734,49.362503052,1.103000045,1,1
3.392313004,2.392313004,386.206481934,-7.516666889,-3.874000072,1,1
3.402126551,2.402126551,386.603942871,48.033332825,3.546999931,1,1
3.412368774,2.412368774,386.643890381,15.308333397,-4.386000156,1,1
3.422224283,2.422224283,387.074920654,20.487499237,3.609999895,1,1
3.432381630,2.432381630,387.178985596,39.141666412,-4.645999908,1,1
3.442120314,2.442120314,387.408264160,-8.387499809,-3.747999907,1,1
3.452372551,2.452372551,387.724151611,50.050003052,3.315000057,1,1
3.462020159,2.462020159,387.748657227,4.720833302,-4.186999798,1,1
3.472412348,2.472412348,388.046417236,11.595833778,3.684000015,1,1
3.482158899,2.482158899,388.176330566,44.183334351,-0.907000005,1,1
3.492359638,2.492359638,388.372711182,-7.195833206,-4.076000214,1,1
3.502232790,2.502232790,388.779571533,61.783332825,3.137000084,1,1
3.512344360,2.512344360,388.823547363,-3.345833302,-4.151999950,1,1
3.522200584,2.522200584,389.111572266,-1.650000095,3.882999897,1,1
3.532289028,2.532289028,389.245513916,32.908332825,3.377000093,1,1
3.542040348,2.542040348,389.322387695,28.875000000,-4.221000195,1,1
3.552323103,2.552323103,389.419738770,-5.683333397,-3.852999926,1,1
3.562072992,2.562072992,389.656402588,4.537499905,3.638999939,1,1
3.572381020,2.572381020,389.805786133,44.504165649,3.069999933,1,1
3.582132339,2.582132339,389.850097656,-15.399999619,-3.815999985,1,1
3.592378855,2.592378855,390.148529053,21.495832443,3.648999929,1,1
3.602203131,2.602203131,390.156585693,29.241666794,-4.172999859,1,1
