time_s,target_normalized,ideal_normalized,fit20,unity20,fit200,unity200,fit800,unity800
4.440000000000000058e-01,1.000000000000000000e+00,9.882040614802484191e-01,9.188914624582342761e-01,9.809357488411133419e-01,9.921481873614578229e-01,9.885622929546532545e-01,8.459894283316673480e-01,9.615001043021923488e-01
4.445000000000000062e-01,1.000000000000000000e+00,9.882628939690575320e-01,9.189551140965500631e-01,9.810216181098012633e-01,9.922068489036300898e-01,9.886199057480635766e-01,8.460755036038141164e-01,9.616454835191311501e-01
4.450000000000000067e-01,1.000000000000000000e+00,9.883214330296045125e-01,9.190184566534138622e-01,9.811071006058200705e-01,9.922652161983903651e-01,9.886772283404791084e-01,8.461611994933909697e-01,9.617903137705121619e-01
4.455000000000000071e-01,1.000000000000000000e+00,9.883796801253690312e-01,9.190814916296722314e-01,9.811921980712726699e-01,9.923232907216892329e-01,9.887342621936690001e-01,8.462465176725525451e-01,9.619345971292807551e-01
4.460000000000000075e-01,1.000000000000000000e+00,9.884376367125314866e-01,9.191442205188838921e-01,9.812769122404150224e-01,9.923810739420740878e-01,9.887910087620396249e-01,8.463314598060827088e-01,9.620783356605548953e-01
4.465000000000000080e-01,1.000000000000000000e+00,9.884953042400095313e-01,9.192066448073551443e-01,9.813612448396918930e-01,9.924385673207254399e-01,9.888474694926713271e-01,8.464160275514278631e-01,9.622215314216540083e-01
4.470000000000000084e-01,1.000000000000000000e+00,9.885526841494942651e-01,9.192687659741749506e-01,9.814451975877714895e-01,9.924957723114954389e-01,9.889036458253553930e-01,8.465002225587295870e-01,9.623641864621294006e-01
4.475000000000000089e-01,1.000000000000000000e+00,9.886097778754866505e-01,9.193305854912502406e-01,9.815287721955809896e-01,9.925526903609429574e-01,9.889595391926306878e-01,8.465840464708556112e-01,9.625063028237926810e-01
4.480000000000000093e-01,1.000000000000000000e+00,9.886665868453325956e-01,9.193921048233403281e-01,9.816119703663412910e-01,9.926093229083711167e-01,9.890151510198201823e-01,8.466675009234330140e-01,9.626478825407458473e-01
4.485000000000000098e-01,1.000000000000000000e+00,9.887231124792594805e-01,9.194533254280922163e-01,9.816947937956013170e-01,9.926656713858634795e-01,9.890704827250677011e-01,8.467505875448798625e-01,9.627889276394093754e-01
