f7_tick_ms,position_mm,measured_velocity_mm_s,applied_mpc_velocity_mm_s,dob_model_velocity_mm_s,controller_current_A,unsaturated_controller_current_A,saturated
8.464200000000000000e+04,4.106768493652343750e+02,-8.066666870117187500e+02,-8.250000000000000000e+02,-8.057905883789062500e+02,-1.168659687042236328e+00,-1.168659687042236328e+00,0.000000000000000000e+00
8.464400000000000000e+04,4.090356445312500000e+02,-8.063000488281250000e+02,-8.250000000000000000e+02,-8.065437622070312500e+02,-1.242042541503906250e+00,-1.242042541503906250e+00,0.000000000000000000e+00
8.464600000000000000e+04,4.082319946289062500e+02,-8.064833374023437500e+02,-8.250000000000000000e+02,-8.072673950195312500e+02,-1.252865791320800781e+00,-1.252865791320800781e+00,0.000000000000000000e+00
8.464800000000000000e+04,4.058170166015625000e+02,-8.047874755859375000e+02,-8.250000000000000000e+02,-8.079627075195312500e+02,-1.490638732910156250e+00,-1.490638732910156250e+00,0.000000000000000000e+00
8.465000000000000000e+04,4.042117309570312500e+02,-8.021291503906250000e+02,-8.250000000000000000e+02,-8.086307373046875000e+02,-1.856712818145751953e+00,-1.856712818145751953e+00,0.000000000000000000e+00
8.465200000000000000e+04,4.025832824707031250e+02,-8.014416503906250000e+02,-8.250000000000000000e+02,-8.092725830078125000e+02,-2.003562450408935547e+00,-2.003562450408935547e+00,0.000000000000000000e+00
8.465400000000000000e+04,4.009816894531250000e+02,-8.006166381835937500e+02,-8.250000000000000000e+02,-8.098892211914062500e+02,-2.173154830932617188e+00,-2.173154830932617188e+00,0.000000000000000000e+00
8.465700000000000000e+04,3.993539123535156250e+02,-7.992416381835937500e+02,-8.250000000000000000e+02,-8.104816894531250000e+02,-2.416167736053466797e+00,-2.416167736053466797e+00,0.000000000000000000e+00
8.465800000000000000e+04,3.977852172851562500e+02,-7.991041870117187500e+02,-8.250000000000000000e+02,-8.110509643554687500e+02,-2.520575523376464844e+00,-2.520575523376464844e+00,0.000000000000000000e+00
8.466000000000000000e+04,3.961883239746093750e+02,-7.982333374023437500e+02,-8.250000000000000000e+02,-8.115979003906250000e+02,-2.716327667236328125e+00,-2.716327667236328125e+00,0.000000000000000000e+00
8.466200000000000000e+04,3.945639038085937500e+02,-7.974083251953125000e+02,-8.250000000000000000e+02,-8.121234130859375000e+02,-2.914114952087402344e+00,-2.914114952087402344e+00,0.000000000000000000e+00
8.466400000000000000e+04,3.930227355957031250e+02,-7.975916748046875000e+02,-8.250000000000000000e+02,-8.126282958984375000e+02,-2.997623443603515625e+00,-2.997623443603515625e+00,0.000000000000000000e+00
8.466600000000000000e+04,3.913670959472656250e+02,-7.992416381835937500e+02,-8.250000000000000000e+02,-8.131134033203125000e+02,-2.905248641967773438e+00,-2.905248641967773438e+00,0.000000000000000000e+00
8.466800000000000000e+04,3.897631530761718750e+02,-8.006166381835937500e+02,-8.250000000000000000e+02,-8.135794677734375000e+02,-2.837702274322509766e+00,-2.837702274322509766e+00,0.000000000000000000e+00
8.467000000000000000e+04,3.881296691894531250e+02,-8.029541625976562500e+02,-8.250000000000000000e+02,-8.140272827148437500e+02,-2.647356510162353516e+00,-2.647356510162353516e+00,0.000000000000000000e+00
8.467200000000000000e+04,3.865784301757812500e+02,-8.047874755859375000e+02,-8.250000000000000000e+02,-8.144575195312500000e+02,-2.504883766174316406e+00,-2.504883766174316406e+00,0.000000000000000000e+00
8.467400000000000000e+04,3.849402465820312500e+02,-8.042833251953125000e+02,-8.250000000000000000e+02,-8.148708496093750000e+02,-2.634405136108398438e+00,-2.634405136108398438e+00,0.000000000000000000e+00
8.467700000000000000e+04,3.833027343750000000e+02,-8.049708251953125000e+02,-8.250000000000000000e+02,-8.152680053710937500e+02,-2.624997615814208984e+00,-2.624997615814208984e+00,0.000000000000000000e+00
8.467800000000000000e+04,3.816282958984375000e+02,-8.064833374023437500e+02,-8.250000000000000000e+02,-8.156495971679687500e+02,-2.513344764709472656e+00,-2.513344764709472656e+00,0.000000000000000000e+00
8.468000000000000000e+04,3.801284179687500000e+02,-8.074916381835937500e+02,-8.250000000000000000e+02,-8.160162353515625000e+02,-2.454465866088867188e+00,-2.454465866088867188e+00,0.000000000000000000e+00
8.468200000000000000e+04,3.784798278808593750e+02,-8.093249511718750000e+02,-8.250000000000000000e+02,-8.163684692382812500e+02,-2.291129112243652344e+00,-2.291129112243652344e+00,0.000000000000000000e+00
8.468400000000000000e+04,3.768305664062500000e+02,-8.095083618164062500e+02,-8.250000000000000000e+02,-8.167069091796875000e+02,-2.316512107849121094e+00,-2.316512107849121094e+00,0.000000000000000000e+00
8.468600000000000000e+04,3.751776123046875000e+02,-8.106541748046875000e+02,-8.250000000000000000e+02,-8.170320434570312500e+02,-2.225882530212402344e+00,-2.225882530212402344e+00,0.000000000000000000e+00
8.468800000000000000e+04,3.735807189941406250e+02,-8.133583374023437500e+02,-8.250000000000000000e+02,-8.173444824218750000e+02,-1.941245555877685547e+00,-1.941245555877685547e+00,0.000000000000000000e+00
8.469000000000000000e+04,3.719529418945312500e+02,-8.145500488281250000e+02,-8.250000000000000000e+02,-8.176446533203125000e+02,-1.822966575622558594e+00,-1.822966575622558594e+00,0.000000000000000000e+00
8.469200000000000000e+04,3.702929382324218750e+02,-8.143666381835937500e+02,-8.250000000000000000e+02,-8.179330444335937500e+02,-1.863880634307861328e+00,-1.863880634307861328e+00,0.000000000000000000e+00
8.469400000000000000e+04,3.686910095214843750e+02,-8.150541381835937500e+02,-8.250000000000000000e+02,-8.182101440429687500e+02,-1.801742553710937500e+00,-1.801742553710937500e+00,0.000000000000000000e+00
8.469700000000000000e+04,3.670330200195312500e+02,-8.150541381835937500e+02,-8.250000000000000000e+02,-8.184763793945312500e+02,-1.818988800048828125e+00,-1.818988800048828125e+00,0.000000000000000000e+00
8.469800000000000000e+04,3.654874877929687500e+02,-8.136791381835937500e+02,-8.250000000000000000e+02,-8.187321777343750000e+02,-2.002850055694580078e+00,-2.002850055694580078e+00,0.000000000000000000e+00
8.470000000000000000e+04,3.638026428222656250e+02,-8.141833496093750000e+02,-8.250000000000000000e+02,-8.189779052734375000e+02,-1.969574928283691406e+00,-1.969574928283691406e+00,0.000000000000000000e+00
8.470200000000000000e+04,3.621470031738281250e+02,-8.143666381835937500e+02,-8.250000000000000000e+02,-8.192139892578125000e+02,-1.972688674926757812e+00,-1.972688674926757812e+00,0.000000000000000000e+00
8.470400000000000000e+04,3.605209045410156250e+02,-8.141833496093750000e+02,-8.250000000000000000e+02,-8.194408569335937500e+02,-2.019703865051269531e+00,-2.019703865051269531e+00,0.000000000000000000e+00
8.470600000000000000e+04,3.588330383300781250e+02,-8.131750488281250000e+02,-8.250000000000000000e+02,-8.196588134765625000e+02,-2.168218612670898438e+00,-2.168218612670898438e+00,0.000000000000000000e+00
8.470800000000000000e+04,3.572640075683593750e+02,-8.128541870117187500e+02,-8.250000000000000000e+02,-8.198682250976562500e+02,-2.241075515747070312e+00,-2.241075515747070312e+00,0.000000000000000000e+00
8.471000000000000000e+04,3.556070251464843750e+02,-8.140458374023437500e+02,-8.250000000000000000e+02,-8.200694580078125000e+02,-2.134481430053710938e+00,-2.134481430053710938e+00,0.000000000000000000e+00
8.471200000000000000e+04,3.540343017578125000e+02,-8.141833496093750000e+02,-8.250000000000000000e+02,-8.202627563476562500e+02,-2.148401737213134766e+00,-2.148401737213134766e+00,0.000000000000000000e+00
8.471400000000000000e+04,3.523726196289062500e+02,-8.153750000000000000e+02,-8.250000000000000000e+02,-8.204484863281250000e+02,-2.035172462463378906e+00,-2.035172462463378906e+00,0.000000000000000000e+00
8.471700000000000000e+04,3.507099304199218750e+02,-8.185833129882812500e+02,-8.250000000000000000e+02,-8.206269531250000000e+02,-1.671997547149658203e+00,-1.671997547149658203e+00,0.000000000000000000e+00
8.471800000000000000e+04,3.491006164550781250e+02,-8.177125244140625000e+02,-8.250000000000000000e+02,-8.207984008789062500e+02,-1.781165599822998047e+00,-1.781165599822998047e+00,0.000000000000000000e+00
8.472000000000000000e+04,3.474043579101562500e+02,-8.184000244140625000e+02,-8.250000000000000000e+02,-8.209631347656250000e+02,-1.708429336547851562e+00,-1.708429336547851562e+00,0.000000000000000000e+00
8.472200000000000000e+04,3.457943725585937500e+02,-8.197291870117187500e+02,-8.250000000000000000e+02,-8.211213989257812500e+02,-1.554504871368408203e+00,-1.554504871368408203e+00,0.000000000000000000e+00
8.472400000000000000e+04,3.441558532714843750e+02,-8.184000244140625000e+02,-8.250000000000000000e+02,-8.212734375000000000e+02,-1.713267326354980469e+00,-1.713267326354980469e+00,0.000000000000000000e+00
8.472600000000000000e+04,3.424884643554687500e+02,-8.200958251953125000e+02,-8.250000000000000000e+02,-8.214195556640625000e+02,-1.516058444976806641e+00,-1.516058444976806641e+00,0.000000000000000000e+00
8.472800000000000000e+04,3.400573730468750000e+02,-8.202333374023437500e+02,-8.250000000000000000e+02,-8.215599365234375000e+02,-1.496533870697021484e+00,-1.496533870697021484e+00,0.000000000000000000e+00
8.473000000000000000e+04,3.392366027832031250e+02,-8.200958251953125000e+02,-8.250000000000000000e+02,-8.216948242187500000e+02,-1.509692668914794922e+00,-1.509692668914794922e+00,0.000000000000000000e+00
8.473200000000000000e+04,3.368011474609375000e+02,-8.216083374023437500e+02,-8.250000000000000000e+02,-8.218244018554687500e+02,-1.325089931488037109e+00,-1.325089931488037109e+00,0.000000000000000000e+00
